listing_id,title,bhk,price,price_text,area_sqft,area_text,price_per_sqft,property_type,locality,address,url
81372891,6 BHK House for Sale in Greater Kailash 1 New Delhi,6,460000000.0,₹ 46 Cr,3600.0,3600 sqft,127777.77777777778,,,,
81383277,"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",3,71300000.0,₹ 7.13 Cr,2751.0,2751 sqft,25917.848055252634,,Godrej South Estate,,
78460755,4 BHK Apartment for Sale in Chhatarpur Extension New Delhi,4,17000000.0,₹ 1.70 Cr,1700.0,1700 sqft,10000.0,,,,
78682405,"3 BHK Apartment for Sale in New Arohi Apartments, Sector 12 Dwarka New Delhi",3,32500000.0,₹ 3.25 Cr,1650.0,1650 sqft,19696.969696969696,,New Arohi Apartments,,
71907887,3 BHK Builder Floor for Sale in Sultanpur New Delhi,3,7800000.0,₹ 78 Lac,1200.0,1200 sqft,6500.0,,,,
80510815,"4 BHK Apartment for Sale in Unity the Amaryllis, Karol Bagh New Delhi",4,106000000.0,₹ 10.60 Cr,3740.0,3740 sqft,28342.245989304814,,Unity the Amaryllis,,
75998473,1 BHK Builder Floor for Sale in Uttam Nagar New Delhi,1,1500000.0,₹ 15 Lac,420.0,420 sqft,3571.4285714285716,,,,
81295743,3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,3,55000000.0,₹ 5.50 Cr,1600.0,1600 sqft,34375.0,,,,
79500755,4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,4,67500000.0,₹ 6.75 Cr,1700.0,1700 sqft,39705.882352941175,,,,
79742279,"3 BHK Apartment for Sale in Forte Point Airliners CGHS, Sector 10 Dwarka New Delhi",3,30000000.0,₹ 3 Cr,1650.0,1650 sqft,18181.81818181818,,Forte Point Airliners CGHS,,
79656455,4 BHK Builder Floor for Sale in Dwarka Mor New Delhi,4,10500000.0,₹ 1.05 Cr,1125.0,1125 sqft,9333.333333333334,,,,
80207827,4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,4,279900000.0,₹ 27.99 Cr,3800.0,3800 sqft,73657.8947368421,,,,
76999105,"4 BHK Builder Floor for Sale in Jagriti Enclave, Anand Vihar New Delhi",4,66000000.0,₹ 6.60 Cr,2400.0,2400 sqft,27500.0,,,,
80610343,3 BHK Builder Floor for Sale in Govindpuri New Delhi,3,7000000.0,₹ 70 Lac,900.0,900 sqft,7777.777777777777,,,,
78607003,3 BHK Builder Floor for Sale in Sat Bari New Delhi,3,10000000.0,₹ 1 Cr,1260.0,140 sqyrd,7936.507936507936,,,,
80169853,"4 BHK Builder Floor for Sale in Kailash Colony, Greater Kailash New Delhi",4,75000000.0,₹ 7.50 Cr,2700.0,300 sqyrd,27777.777777777777,,,,
76509131,"3 BHK Apartment for Sale in DLF One Midtown, New Moti Nagar, Kirti Nagar New Delhi",3,56300000.0,₹ 5.63 Cr,1600.0,1600 sqft,35187.5,,DLF One Midtown,,
74517767,4 BHK Builder Floor for Sale in Anand Niketan New Delhi,4,130000000.0,₹ 13 Cr,3600.0,400 sqyrd,36111.11111111111,,,,
79110205,"3 BHK Apartment for Sale in TARC Tripundra, Bijwasan New Delhi",3,39800000.0,₹ 3.98 Cr,1600.0,1600 sqft,24875.0,,TARC Tripundra,,
80343763,4 BHK Builder Floor for Sale in Sarvodaya Enclave New Delhi,4,190000000.0,₹ 19 Cr,4500.0,4500 sqft,42222.22222222222,,,,
80379047,"4 BHK Apartment for Sale in Garur Golf Island, Sector 19B Dwarka New Delhi",4,74000000.0,₹ 7.40 Cr,3120.0,3120 sqft,23717.94871794872,,Garur Golf Island,,
78781179,2 BHK Apartment for Sale in Uttam Nagar New Delhi,2,2700000.0,₹ 27 Lac,450.0,450 sqft,6000.0,,,,
79153925,"6 BHK House for Sale in Tagore Garden, Rajouri Garden, Najafgarh Road New Delhi",6,110000000.0,₹ 11 Cr,1340.0,1340 sqft,82089.55223880598,,,,
78481921,"3 BHK Apartment for Sale in Godrej South Estate, Okhla New Delhi",3,55000000.0,₹ 5.50 Cr,1570.0,1570 sqft,35031.84713375796,,Godrej South Estate,,
81020077,"3 BHK Builder Floor for Sale in Greater Kailash Builder Floors, Block E Greater Kailash 2 New Delhi",3,90000000.0,₹ 9 Cr,1850.0,1850 sqft,48648.64864864865,,Greater Kailash Builder Floors,,
78376669,4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,4,75000000.0,₹ 7.50 Cr,2475.0,275 sqyrd,30303.030303030304,,,,
71531559,"3 BHK Apartment for Sale in Ganpati Apartments, Dwarka Sector 9 New Delhi",3,32000000.0,₹ 3.20 Cr,1650.0,1650 sqft,19393.939393939392,,Ganpati Apartments,,
81232557,"4 BHK Builder Floor for Sale in Panchsheel Extension, Malviya Nagar New Delhi",4,100000000.0,₹ 10 Cr,2200.0,2200 sqft,45454.545454545456,,,,
79691225,4 BHK Builder Floor for Sale in Mahavir Enclave Part 1 New Delhi,4,15000000.0,₹ 1.50 Cr,1700.0,1700 sqft,8823.529411764706,,,,
64426613,"3 BHK Apartment for Sale in Satyam Apartment, Sector 18A Dwarka New Delhi",3,29800000.0,₹ 2.98 Cr,1650.0,1650 sqft,18060.60606060606,,Satyam Apartment,,
72209617,"4 BHK Apartment for Sale in Sawasdee Heights, Rampura Industrial Area New Delhi",4,47100000.0,₹ 4.71 Cr,3054.0,3054 sqft,15422.396856581532,,Sawasdee Heights,,
77953805,"3 BHK Apartment for Sale in Kunj Vihar Apartment, Sector 12 Dwarka New Delhi",3,32500000.0,₹ 3.25 Cr,1700.0,1700 sqft,19117.647058823528,,Kunj Vihar Apartment,,
65509975,"3 BHK Apartment for Sale in Kunj Vihar Apartment, Sector 12 Dwarka New Delhi",3,32500000.0,₹ 3.25 Cr,1650.0,1650 sqft,19696.969696969696,,Kunj Vihar Apartment,,
81445741,"4 BHK Apartment for Sale in Ispatika Apartment, Sector 4 Dwarka New Delhi",4,34500000.0,₹ 3.45 Cr,2000.0,2000 sqft,17250.0,,Ispatika Apartment,,
80386815,"3 BHK Apartment for Sale in DDA Flats Pocket 1, Pocket 1 Sector B Vasant Kunj New Delhi",3,35000000.0,₹ 3.50 Cr,919.0,919 sqft,38084.874863982586,,DDA Flats Pocket 1,,
79058067,4 BHK Builder Floor for Sale in Sector 18 Rohini New Delhi,4,62500000.0,₹ 6.25 Cr,3800.0,3800 sqft,16447.36842105263,,,,
68620437,"3 BHK Apartment for Sale in Maitri Apartments, Sector 10 Dwarka New Delhi",3,35000000.0,₹ 3.50 Cr,1600.0,1600 sqft,21875.0,,Maitri Apartments,,
78590861,"3 BHK Apartment for Sale in Celestial Heights, Sector 2 Dwarka New Delhi",3,27500000.0,₹ 2.75 Cr,1600.0,1600 sqft,17187.5,,Celestial Heights,,
81174729,"3 BHK Apartment for Sale in Godrej South Estate, Block A Okhla New Delhi",3,68400000.0,₹ 6.84 Cr,2351.0,2351 sqft,29094.00255210549,,Godrej South Estate,,
