price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Furnished_status,type_of_building,Price_sqft,log_price,has_parking,has_lift,is_new
4200000.0,1040.0,28.616204,77.422256,2,2,2,Unknown,Flat,4038.4615384615386,15.250595321348806,1,1,0
82000000.0,5495.0,28.4361825275276,77.1043058418003,5,6,2,Unknown,Flat,14922.65696087352,18.22222981742365,1,1,0
9000000.0,1250.0,28.6401587513384,77.066265900795,2,2,2,Unknown,Individual House,7200.0,16.012735246411598,0,0,0
14000000.0,2500.0,28.68651580810547,77.29942321777344,3,2,1,Semi-Furnished,Flat,5600.0,16.454567959008102,1,0,0
8900000.0,1815.0,28.45251307,76.97627035,3,3,0,Unknown,Flat,4903.581267217631,16.001561947061912,0,0,0
3200000.0,1041.0,28.701837981083,77.423206716491,2,2,3,Unknown,Flat,3073.967339097022,14.978661680269907,0,0,0
15000000.0,2000.0,28.412109,77.049522,4,4,3,Unknown,Flat,7500.0,16.52356082573315,1,1,0
9200000.0,1960.0,28.393665,76.962842,3,3,3,Unknown,Individual House,4693.877551020408,16.034714150714915,1,1,0
11500000.0,1963.0,28.406752,76.96474017,3,3,3,Unknown,Flat,5858.380030565461,16.257857680289998,1,1,0
6000000.0,1246.0,28.5863287948209,77.4010620206905,2,2,3,Unknown,Individual House,4815.409309791332,15.607270193858982,1,1,0
3900000.0,1085.0,28.473679,77.506258,2,2,3,Unknown,Flat,3594.470046082949,15.176487367510099,0,1,0
3600000.0,995.0,28.606945,77.455578568448,2,2,3,Unknown,Individual House,3618.0904522613055,15.096444681204078,0,0,0
49000000.0,6168.0,28.470149,77.535673,5,5,3,Semi-Furnished,Flat,7944.228274967574,17.707330876483063,1,0,0
7500000.0,1260.0,28.3824895,76.9823169,2,2,0,Unknown,Individual House,5952.380952380952,15.830413711839864,1,1,1
18000000.0,1700.0,28.5884566,77.304787,4,3,1,Unknown,Individual House,10588.235294117649,16.705882371415992,1,1,0
17200000.0,2025.0,28.5858422747995,77.0606247868441,3,2,4,Unknown,Flat,8493.827160493827,16.660419999923214,1,1,0
17000000.0,1600.0,28.66662979125977,77.1522216796875,3,2,2,Semi-Furnished,Flat,10625.0,16.648723960844016,1,1,0
5500000.0,1150.0,28.497455596923828,77.02713775634766,3,2,1,Semi-Furnished,Flat,4782.608695652174,15.520258832020865,1,1,0
13000000.0,2300.0,28.655845642089844,77.36822509765625,4,4,3,Unfurnished,Flat,5652.173913043478,16.380459992348886,0,0,0
9900000.0,1760.0,28.407361,76.93426176,3,2,4,Unknown,Flat,5625.0,16.108045416114916,1,1,0
7000000.0,559.0,28.7295315,77.106949,2,2,0,Unfurnished,Individual House,12522.36135957066,15.76142084987672,0,0,0
5150000.0,1234.0,28.500621,77.424203,2,2,2,Unknown,Flat,4173.419773095624,15.454507466814658,0,0,0
7500000.0,700.0,28.6628739905415,77.0977670161547,2,2,0,Unknown,Flat,10714.285714285714,15.830413711839864,1,0,0
2630000.0,750.0,28.39244079589844,77.34424591064453,3,2,2,Unfurnished,Flat,3506.6666666666665,14.782494784382012,0,0,1
4600000.0,1000.0,28.618239,77.054361,3,2,0,Unknown,Flat,4600.0,15.341567078850604,1,1,1
7500000.0,1390.0,28.548787,77.346032,3,2,3,Unknown,Flat,5395.6834532374105,15.830413711839864,1,1,0
7000000.0,1326.0,28.397731,77.036526,3,3,3,Unknown,Flat,5279.034690799396,15.76142084987672,1,1,0
5800000.0,1270.0,28.524543,77.364765,3,3,0,Unknown,Flat,4566.929133858268,15.573368647930426,0,0,0
5200000.0,1175.0,28.500621,77.424203,2,2,0,Unknown,Individual House,4425.531914893617,15.46416937585933,0,0,0
26000000.0,3755.0,28.5279804259531,77.354191,4,6,2,Unknown,Flat,6924.101198402131,17.073607134447293,1,1,1
20000000.0,1650.0,28.666059,77.150134,3,3,4,Unknown,Flat,12121.212121212122,16.811242881518265,1,0,0
3200000.0,800.0,28.5201861,77.179158,2,2,1,Unfurnished,Flat,4000.0,14.978661680269907,0,0,1
8500000.0,1100.0,28.6288025,77.0958556,2,2,0,Furnished,Flat,7727.272727272727,15.955576839107596,1,0,0
4320000.0,800.0,28.38762,77.06237,2,2,0,Unknown,Flat,5400.0,15.278766191701747,0,0,0
6709999.999999999,1180.0,28.65493,77.350989,2,2,2,Unknown,Flat,5686.440677966101,15.71910965797915,1,1,0
16900000.0,1935.0,28.45451736450196,77.08187103271484,3,4,2,Semi-Furnished,Flat,8733.850129198967,16.642824239064897,1,1,0
